id,name,tag,url,rank,tier,ranked_rating,damage_per_round,kd_ratio,headshot_percent,win_percent,wins,kast,dd_per_round,kills,deaths,assists,acs,kad_ratio,kills_per_round,first_bloods,flawless_rounds,aces
26,zt0L,#TTV,https://tracker.gg/valorant/profile/riot/zt0L%23TTV/overview,27,Radiant,779,141.2,1.01,0.20800000000000002,0.478,149.0,0.74,5.0,4910.0,4852.0,2571.0,219.7,1.54,0.7,553.0,241.0,7.0
27,Dasnerth,#KING,https://tracker.gg/valorant/profile/riot/Dasnerth%23KING/overview,28,Radiant,778,157.7,1.19,0.192,0.539,118.0,0.722,16.0,4264.0,3584.0,1003.0,255.8,1.47,0.9,663.0,177.0,15.0
28,SCC geeza,#Chels,https://tracker.gg/valorant/profile/riot/SCC%20geeza%23Chels/overview,29,Radiant,776,184.3,1.32,0.39399999999999996,0.597,114.0,0.727,33.0,4030.0,3054.0,725.0,285.0,1.56,1.0,730.0,157.0,14.0
29,SEEZYYYONTWITTER,#TLOP4,https://tracker.gg/valorant/profile/riot/SEEZYYYONTWITTER%23TLOP4/overview,30,Radiant,774,154.7,1.22,0.36,0.555,137.0,0.74,26.0,4364.0,3582.0,1056.0,232.4,1.51,0.8,612.0,199.0,5.0
30,LOUD tuyz,#11111,https://tracker.gg/valorant/profile/riot/LOUD%20tuyz%2311111/overview,31,Radiant,773,156.2,1.38,0.36200000000000004,0.645,60.0,0.79,37.0,1694.0,1229.0,679.0,236.6,1.93,0.9,156.0,73.0,3.0
31,C9 Xeppaa,#XITER,https://tracker.gg/valorant/profile/riot/C9%20Xeppaa%23XITER/overview,32,Radiant,766,157.1,1.18,0.284,0.588,133.0,0.76,21.0,4094.0,3458.0,1453.0,239.3,1.6,0.8,464.0,212.0,6.0
32,LFT heat,#MVP,https://tracker.gg/valorant/profile/riot/LFT%20heat%23MVP/overview,33,Radiant,765,175.0,1.39,0.364,0.61,97.0,0.741,42.0,3204.0,2305.0,545.0,265.1,1.63,1.0,533.0,146.0,8.0
33,clear,#emmy,https://tracker.gg/valorant/profile/riot/clear%23emmy/overview,34,Radiant,764,160.4,1.25,0.37799999999999995,0.629,112.0,0.73,24.0,3348.0,2672.0,602.0,247.2,1.48,0.9,473.0,150.0,8.0
34,add3r,#help,https://tracker.gg/valorant/profile/riot/add3r%23help/overview,35,Radiant,759,154.6,1.23,0.401,0.632,74.0,0.74,24.0,2166.0,1767.0,494.0,234.3,1.51,0.8,276.0,76.0,4.0
35,furbsa,#cam,https://tracker.gg/valorant/profile/riot/furbsa%23cam/overview,36,Radiant,758,163.1,1.24,0.37,0.655,76.0,0.74,24.0,2119.0,1715.0,414.0,248.9,1.48,0.9,349.0,102.0,3.0
36,ion2x,#4KT,https://tracker.gg/valorant/profile/riot/ion2x%234KT/overview,38,Radiant,754,158.6,1.15,0.318,0.588,120.0,0.722,19.0,3717.0,3233.0,832.0,241.6,1.41,0.9,587.0,154.0,6.0
37,Eggsterr,#NJLTC,https://tracker.gg/valorant/profile/riot/Eggsterr%23NJLTC/overview,40,Radiant,741,151.8,1.05,0.23199999999999998,0.551,151.0,0.7120000000000001,4.0,4827.0,4585.0,1471.0,240.0,1.37,0.8,1028.0,205.0,12.0
38,WU infiltrator,#KVON,https://tracker.gg/valorant/profile/riot/WU%20infiltrator%23KVON/overview,41,Radiant,736,170.8,1.18,0.28300000000000003,0.5479999999999999,97.0,0.73,24.0,3452.0,2915.0,734.0,264.6,1.44,0.9,799.0,139.0,7.0
39,JustX3non,#RGB69,https://tracker.gg/valorant/profile/riot/JustX3non%23RGB69/overview,42,Radiant,733,130.0,1.02,0.18899999999999997,0.679,131.0,0.731,3.0,2729.0,2680.0,869.0,195.3,1.34,0.7,326.0,143.0,5.0
40,SCC SMILEY,#MODE,https://tracker.gg/valorant/profile/riot/SCC%20SMILEY%23MODE/overview,43,Radiant,731,147.2,1.12,0.32899999999999996,0.5579999999999999,86.0,0.7240000000000001,10.0,2712.0,2416.0,969.0,227.6,1.52,0.8,377.0,133.0,10.0
41,SCC Instxnct,#69420,https://tracker.gg/valorant/profile/riot/SCC%20Instxnct%2369420/overview,44,Radiant,721,152.4,1.13,0.313,0.581,93.0,0.705,16.0,2751.0,2444.0,726.0,228.8,1.42,0.8,457.0,131.0,3.0
42,saucy,#free,https://tracker.gg/valorant/profile/riot/saucy%23free/overview,45,Radiant,720,147.2,1.02,0.31,0.521,185.0,0.7040000000000001,4.0,5770.0,5672.0,1824.0,219.7,1.34,0.8,832.0,275.0,5.0
43,Tea,#LMFAO,https://tracker.gg/valorant/profile/riot/Tea%23LMFAO/overview,46,Radiant,719,154.0,1.2,0.251,0.523,101.0,0.723,18.0,3495.0,2910.0,725.0,233.1,1.45,0.8,400.0,154.0,5.0
44,dead,#EZ4ME,https://tracker.gg/valorant/profile/riot/dead%23EZ4ME/overview,47,Radiant,715,131.1,0.97,0.22,0.484,185.0,0.71,-2.0,5597.0,5770.0,2172.0,197.0,1.35,0.7,558.0,285.0,8.0
45,RETA snwziN,#awp,https://tracker.gg/valorant/profile/riot/RETA%20snwziN%23awp/overview,48,Radiant,713,159.4,1.16,0.262,0.5539999999999999,92.0,0.7020000000000001,19.0,3064.0,2651.0,473.0,246.5,1.33,0.9,641.0,140.0,10.0
46,req,#oppaÃ­,https://tracker.gg/valorant/profile/riot/req%23oppa%C3%AD/overview,49,Radiant,712,160.5,1.24,0.483,0.597,74.0,0.7170000000000001,19.0,2413.0,1946.0,405.0,249.2,1.45,0.9,364.0,119.0,11.0
47,TTV mercy val,#1152,https://tracker.gg/valorant/profile/riot/TTV%20mercy%20val%231152/overview,51,Radiant,710,140.9,1.0,0.32899999999999996,0.537,205.0,0.715,3.0,5953.0,5972.0,2368.0,210.6,1.39,0.7,805.0,311.0,13.0
48,twitch nightz1x,#aim,https://tracker.gg/valorant/profile/riot/twitch%20nightz1x%23aim/overview,52,Radiant,709,163.5,1.16,0.397,0.581,158.0,0.718,17.0,5173.0,4448.0,1104.0,253.6,1.41,0.9,1021.0,209.0,20.0
49,YSL curryBLICKY,#THUG,https://tracker.gg/valorant/profile/riot/YSL%20curryBLICKY%23THUG/overview,53,Radiant,704,170.8,1.25,0.301,0.61,86.0,0.7490000000000001,33.0,2731.0,2189.0,734.0,261.2,1.58,0.9,497.0,102.0,6.0
50,Mob,#csgo,https://tracker.gg/valorant/profile/riot/Mob%23csgo/overview,54,Radiant,700,156.1,1.21,0.345,0.602,130.0,0.71,23.0,3876.0,3206.0,551.0,242.0,1.38,0.9,893.0,180.0,8.0
51,stellar,#bden,https://tracker.gg/valorant/profile/riot/stellar%23bden/overview,55,Radiant,699,140.0,1.09,0.275,0.561,83.0,0.743,8.0,2414.0,2218.0,1056.0,211.8,1.56,0.8,229.0,125.0,1.0
52,Kaoticcc,#2006,https://tracker.gg/valorant/profile/riot/Kaoticcc%232006/overview,56,Radiant,698,174.0,1.26,0.313,0.616,130.0,0.723,30.0,4253.0,3383.0,756.0,268.3,1.48,0.9,931.0,183.0,16.0
53,LH Zinx,#TTV,https://tracker.gg/valorant/profile/riot/LH%20Zinx%23TTV/overview,57,Radiant,693,171.1,1.18,0.251,0.551,97.0,0.737,29.0,3247.0,2742.0,826.0,256.1,1.49,0.9,601.0,132.0,10.0
54,aLEK94,#1804,https://tracker.gg/valorant/profile/riot/aLEK94%231804/overview,58,Radiant,692,148.0,1.03,0.284,0.47700000000000004,163.0,0.696,4.0,5736.0,5560.0,1334.0,226.1,1.27,0.8,942.0,229.0,9.0
55,derek,#dmo,https://tracker.gg/valorant/profile/riot/derek%23dmo/overview,59,Radiant,691,159.7,1.08,0.384,0.509,141.0,0.6990000000000001,11.0,5008.0,4619.0,960.0,243.0,1.29,0.8,1053.0,197.0,12.0
56,DONK ENJOYER,#CHEAT,https://tracker.gg/valorant/profile/riot/DONK%20ENJOYER%23CHEAT/overview,60,Radiant,690,162.6,1.21,0.258,0.59,72.0,0.7609999999999999,28.0,2226.0,1839.0,918.0,245.3,1.71,0.8,308.0,91.0,3.0
57,TWITCH PAIN1VCT,#NXTSN,https://tracker.gg/valorant/profile/riot/TWITCH%20PAIN1VCT%23NXTSN/overview,61,Radiant,690,149.6,1.12,0.373,0.532,84.0,0.722,14.0,2668.0,2390.0,652.0,225.0,1.39,0.8,384.0,116.0,2.0
58,A1MBOT,#6028,https://tracker.gg/valorant/profile/riot/A1MBOT%236028/overview,63,Radiant,689,142.3,1.15,0.335,0.5,122.0,0.742,16.0,4077.0,3531.0,1537.0,216.5,1.59,0.8,423.0,203.0,8.0
59,HavexTV,#1of1,https://tracker.gg/valorant/profile/riot/HavexTV%231of1/overview,64,Radiant,688,138.7,1.04,0.35,0.5660000000000001,120.0,0.7240000000000001,3.0,3351.0,3210.0,1229.0,211.5,1.43,0.7,411.0,169.0,5.0
60,chloric,#sadie,https://tracker.gg/valorant/profile/riot/chloric%23sadie/overview,65,Radiant,688,144.8,1.21,0.245,0.594,85.0,0.782,25.0,2287.0,1896.0,1067.0,216.4,1.77,0.8,173.0,103.0,1.0
61,zaj,#333,https://tracker.gg/valorant/profile/riot/zaj%23333/overview,66,Radiant,685,161.9,1.1,0.414,0.495,107.0,0.705,16.0,3869.0,3503.0,913.0,241.2,1.37,0.8,670.0,151.0,12.0
62,EG JAWGEMO,#MOR,https://tracker.gg/valorant/profile/riot/EG%20JAWGEMO%23MOR/overview,67,Radiant,683,148.3,1.05,0.261,0.5329999999999999,89.0,0.732,5.0,2883.0,2749.0,1070.0,228.6,1.44,0.8,424.0,118.0,10.0
63,FURIA havoc,#lara,https://tracker.gg/valorant/profile/riot/FURIA%20havoc%23lara/overview,68,Radiant,681,156.4,1.22,0.40399999999999997,0.593,86.0,0.741,26.0,2569.0,2101.0,777.0,237.9,1.59,0.8,351.0,125.0,2.0
64,LONE,#RCL,https://tracker.gg/valorant/profile/riot/LONE%23RCL/overview,69,Radiant,679,147.0,1.06,0.27899999999999997,0.524,183.0,0.742,12.0,5711.0,5363.0,2233.0,220.7,1.48,0.8,772.0,262.0,11.0
65,EDG k3ni,#777,https://tracker.gg/valorant/profile/riot/EDG%20k3ni%23777/overview,70,Radiant,678,132.8,1.01,0.287,0.496,141.0,0.736,4.0,4149.0,4119.0,1852.0,194.7,1.46,0.7,337.0,196.0,2.0
66,evy,#KAIDO,https://tracker.gg/valorant/profile/riot/evy%23KAIDO/overview,71,Radiant,677,162.6,1.23,0.37799999999999995,0.5379999999999999,84.0,0.7170000000000001,20.0,3091.0,2523.0,499.0,250.7,1.42,0.9,526.0,129.0,7.0
67,FURIA mwzera,#2001,https://tracker.gg/valorant/profile/riot/FURIA%20mwzera%232001/overview,72,Radiant,676,177.6,1.48,0.287,0.66,70.0,0.762,48.0,2211.0,1495.0,416.0,274.7,1.76,1.0,348.0,117.0,9.0
68,Exalt,#EZ4ME,https://tracker.gg/valorant/profile/riot/Exalt%23EZ4ME/overview,73,Radiant,675,143.4,1.0,0.266,0.514,133.0,0.722,4.0,4103.0,4095.0,1446.0,215.5,1.36,0.7,576.0,197.0,11.0
69,EXL Jowzera,#025,https://tracker.gg/valorant/profile/riot/EXL%20Jowzera%23025/overview,74,Radiant,674,146.4,1.06,0.435,0.49,94.0,0.706,2.0,3242.0,3047.0,755.0,223.4,1.31,0.8,595.0,135.0,2.0
70,100T Asuna,#1111,https://tracker.gg/valorant/profile/riot/100T%20Asuna%231111/overview,75,Radiant,673,171.7,1.22,0.257,0.635,54.0,0.75,29.0,1698.0,1391.0,494.0,264.7,1.58,0.9,276.0,78.0,7.0
71,LEV kiNgg,#coni,https://tracker.gg/valorant/profile/riot/LEV%20kiNgg%23coni/overview,77,Radiant,668,164.3,1.46,0.34299999999999997,0.605,49.0,0.8,45.0,1586.0,1085.0,512.0,251.7,1.93,0.9,142.0,83.0,3.0
72,XHOWI,#000,https://tracker.gg/valorant/profile/riot/XHOWI%23000/overview,78,Radiant,667,137.2,1.03,0.36,0.561,64.0,0.7120000000000001,4.0,1826.0,1767.0,636.0,206.9,1.39,0.7,210.0,100.0,4.0
73,C9 jakee,#julee,https://tracker.gg/valorant/profile/riot/C9%20jakee%23julee/overview,79,Radiant,666,148.1,1.1,0.358,0.527,107.0,0.7440000000000001,11.0,3430.0,3113.0,1301.0,227.8,1.52,0.8,393.0,155.0,3.0
74,100T eeiu,#1da,https://tracker.gg/valorant/profile/riot/100T%20eeiu%231da/overview,80,Radiant,661,163.3,1.22,0.349,0.539,69.0,0.74,23.0,2488.0,2034.0,759.0,249.6,1.6,0.9,262.0,100.0,4.0
75,snake,#zzzz,https://tracker.gg/valorant/profile/riot/snake%23zzzz/overview,81,Radiant,661,125.7,0.99,0.301,0.52,166.0,0.746,-4.0,4635.0,4660.0,2477.0,190.7,1.53,0.7,359.0,254.0,3.0
76,unstable,#zero,https://tracker.gg/valorant/profile/riot/unstable%23zero/overview,82,Radiant,660,145.7,1.15,0.375,0.579,66.0,0.735,13.0,1922.0,1666.0,522.0,222.3,1.47,0.8,289.0,89.0,6.0
77,sym,#rach,https://tracker.gg/valorant/profile/riot/sym%23rach/overview,83,Radiant,659,170.9,1.23,0.34299999999999997,0.521,62.0,0.722,27.0,2332.0,1903.0,458.0,263.6,1.47,0.9,458.0,112.0,3.0
78,MIBR jzzJESUS,#2004,https://tracker.gg/valorant/profile/riot/MIBR%20jzzJESUS%232004/overview,84,Radiant,659,152.5,1.14,0.325,0.595,78.0,0.721,17.0,2324.0,2030.0,744.0,230.9,1.51,0.8,292.0,105.0,5.0
79,M80 koalanoob,#HOPE,https://tracker.gg/valorant/profile/riot/M80%20koalanoob%23HOPE/overview,85,Radiant,658,173.7,1.28,0.284,0.511,72.0,0.738,31.0,2834.0,2211.0,528.0,268.5,1.52,0.9,532.0,127.0,8.0
80,swarm,#lolz,https://tracker.gg/valorant/profile/riot/swarm%23lolz/overview,86,Radiant,656,156.0,1.09,0.289,0.514,89.0,0.705,14.0,2941.0,2700.0,596.0,233.3,1.31,0.8,530.0,127.0,4.0
81,calm ceeJay,#fps,https://tracker.gg/valorant/profile/riot/calm%20ceeJay%23fps/overview,87,Radiant,655,142.0,1.16,0.24100000000000002,0.617,58.0,0.752,16.0,1505.0,1299.0,653.0,214.3,1.66,0.8,177.0,86.0,2.0
82,spec,#tilt,https://tracker.gg/valorant/profile/riot/spec%23tilt/overview,88,Radiant,655,142.5,1.05,0.332,0.512,83.0,0.7020000000000001,6.0,2646.0,2514.0,855.0,216.7,1.39,0.8,370.0,127.0,3.0
83,MXS mada,#thief,https://tracker.gg/valorant/profile/riot/MXS%20mada%23thief/overview,89,Radiant,654,176.7,1.2,0.27899999999999997,0.575,69.0,0.74,29.0,2350.0,1955.0,574.0,270.1,1.5,0.9,489.0,93.0,4.0
84,twitch jeffie,#fps,https://tracker.gg/valorant/profile/riot/twitch%20jeffie%23fps/overview,90,Radiant,653,152.4,1.13,0.273,0.633,50.0,0.753,25.0,1304.0,1154.0,523.0,227.5,1.58,0.8,129.0,72.0,2.0
85,WhoFramedMe,#117,https://tracker.gg/valorant/profile/riot/WhoFramedMe%23117/overview,91,Radiant,651,148.0,1.23,0.26899999999999996,0.5870000000000001,71.0,0.74,24.0,2077.0,1687.0,513.0,226.6,1.54,0.8,281.0,116.0,5.0
86,JAVI,#245,https://tracker.gg/valorant/profile/riot/JAVI%23245/overview,92,Radiant,651,135.5,0.97,0.32899999999999996,0.54,108.0,0.713,-2.0,2963.0,3042.0,1148.0,200.7,1.35,0.7,371.0,161.0,3.0
87,EATER23,#2323,https://tracker.gg/valorant/profile/riot/EATER23%232323/overview,93,Radiant,651,137.4,1.05,0.337,0.515,103.0,0.706,2.0,3176.0,3038.0,965.0,208.0,1.36,0.7,391.0,141.0,8.0
88,lil d,#dewey,https://tracker.gg/valorant/profile/riot/lil%20d%23dewey/overview,94,Radiant,651,152.4,1.14,0.353,0.535,84.0,0.71,6.0,2811.0,2465.0,589.0,236.9,1.38,0.8,495.0,117.0,6.0
89,HeXed,#paul,https://tracker.gg/valorant/profile/riot/HeXed%23paul/overview,96,Radiant,649,165.7,1.23,0.205,0.603,144.0,0.7440000000000001,31.0,4445.0,3622.0,1135.0,251.2,1.54,0.9,709.0,197.0,9.0
90,Qunu,#0001,https://tracker.gg/valorant/profile/riot/Qunu%230001/overview,97,Radiant,647,136.2,1.06,0.245,0.535,107.0,0.748,5.0,3111.0,2922.0,1370.0,207.9,1.53,0.7,341.0,157.0,8.0
91,QoR tdawgg,#ncie,https://tracker.gg/valorant/profile/riot/QoR%20tdawgg%23ncie/overview,98,Radiant,646,129.3,0.94,0.258,0.525,64.0,0.721,-6.0,1760.0,1868.0,957.0,196.5,1.45,0.7,188.0,72.0,0.0
92,Tofu,#Smexy,https://tracker.gg/valorant/profile/riot/Tofu%23Smexy/overview,99,Radiant,646,149.4,1.06,0.35600000000000004,0.49,128.0,0.7190000000000001,5.0,4361.0,4132.0,1373.0,223.6,1.39,0.8,628.0,189.0,4.0
93,twitch supaval,#Blunt,https://tracker.gg/valorant/profile/riot/twitch%20supaval%23Blunt/overview,100,Radiant,645,135.7,1.03,0.348,0.581,75.0,0.725,4.0,1957.0,1903.0,725.0,202.4,1.41,0.7,210.0,105.0,1.0
94,moobs,#CAN,https://tracker.gg/valorant/profile/riot/moobs%23CAN/overview,101,Radiant,643,154.0,1.09,0.335,0.534,62.0,0.7020000000000001,13.0,1923.0,1771.0,539.0,230.5,1.39,0.8,328.0,101.0,9.0
95,TwitchTV Stohla,#Acee,https://tracker.gg/valorant/profile/riot/TwitchTV%20Stohla%23Acee/overview,102,Radiant,643,155.3,1.18,0.26,0.56,70.0,0.7390000000000001,16.0,2204.0,1869.0,718.0,232.9,1.56,0.8,298.0,115.0,1.0
96,Fire,#James,https://tracker.gg/valorant/profile/riot/Fire%23James/overview,103,Radiant,642,153.0,1.21,0.32799999999999996,0.53,79.0,0.757,20.0,2665.0,2196.0,966.0,233.4,1.65,0.8,234.0,115.0,1.0
97,acrian,#420,https://tracker.gg/valorant/profile/riot/acrian%23420/overview,104,Radiant,640,152.8,1.11,0.305,0.526,154.0,0.732,14.0,4925.0,4446.0,1448.0,230.1,1.43,0.8,702.0,203.0,13.0
98,hhhhhhh,#hhhh,https://tracker.gg/valorant/profile/riot/hhhhhhh%23hhhh/overview,105,Radiant,640,141.8,1.09,0.266,0.5379999999999999,84.0,0.735,8.0,2617.0,2391.0,892.0,216.6,1.47,0.8,348.0,139.0,2.0
99,andrew,#637,https://tracker.gg/valorant/profile/riot/andrew%23637/overview,106,Radiant,638,154.8,1.09,0.35200000000000004,0.541,98.0,0.737,11.0,3200.0,2931.0,655.0,228.9,1.32,0.8,382.0,128.0,7.0
100,frankfwm,#ody,https://tracker.gg/valorant/profile/riot/frankfwm%23ody/overview,107,Radiant,638,141.4,0.91,0.23800000000000002,0.495,147.0,0.691,-6.0,4611.0,5091.0,1425.0,215.0,1.19,0.7,914.0,194.0,6.0
101,ttv alitheowbot,#Ali,https://tracker.gg/valorant/profile/riot/ttv%20alitheowbot%23Ali/overview,108,Radiant,637,157.5,1.13,0.28800000000000003,0.5760000000000001,68.0,0.735,20.0,2048.0,1809.0,742.0,238.1,1.54,0.8,363.0,105.0,4.0
102,wiedergeboren,#777,https://tracker.gg/valorant/profile/riot/wiedergeboren%23777/overview,109,Radiant,637,140.5,1.13,0.32299999999999995,0.609,56.0,0.746,15.0,1469.0,1297.0,616.0,212.8,1.61,0.8,156.0,66.0,2.0
103,GUP Freshtzin,#000,https://tracker.gg/valorant/profile/riot/GUP%20Freshtzin%23000/overview,110,Radiant,635,129.2,0.98,0.348,0.61,86.0,0.716,-1.0,2079.0,2113.0,822.0,196.3,1.37,0.7,295.0,109.0,2.0
104,WU nahsie,#flame,https://tracker.gg/valorant/profile/riot/WU%20nahsie%23flame/overview,111,Radiant,634,141.9,1.06,0.295,0.544,92.0,0.736,8.0,2721.0,2560.0,1212.0,213.4,1.54,0.7,264.0,144.0,4.0
105,android,#zpg,https://tracker.gg/valorant/profile/riot/android%23zpg/overview,112,Radiant,633,141.3,1.12,0.332,0.529,82.0,0.7290000000000001,11.0,2535.0,2258.0,800.0,212.3,1.48,0.8,272.0,130.0,3.0
106,FURIA liazzi,#ylswg,https://tracker.gg/valorant/profile/riot/FURIA%20liazzi%23ylswg/overview,113,Radiant,632,144.0,1.15,0.342,0.55,61.0,0.748,16.0,1780.0,1550.0,797.0,217.4,1.66,0.8,197.0,88.0,5.0
107,maxxy,#ttv,https://tracker.gg/valorant/profile/riot/maxxy%23ttv/overview,114,Radiant,630,132.6,1.02,0.239,0.58,109.0,0.7290000000000001,3.0,2779.0,2735.0,1109.0,200.3,1.42,0.7,338.0,153.0,2.0
